STCOU,POPESTIMATE2014,NPOPCHG2014,NATURALINC2014,INTERNATIONALMIG2014,DOMESTICMIG2014
18013,14962,-92,-9,1,-93
18015,19923,-173,47,6,-216
18017,38438,-104,104,92,-289
18019,114262,1462,367,119,966
18021,26562,-235,34,8,-278
18023,32776,-182,168,34,-382
18027,32729,426,220,28,189
18029,49506,-293,104,18,-391
18031,26524,262,73,45,131
18033,42383,81,104,15,-8
18035,117074,-281,67,132,-398
18037,42345,27,131,46,-130
18039,201971,1380,1500,149,-171
18041,23468,-371,-47,1,-319
18043,76179,120,187,11,-78
18053,68569,-475,-59,29,-395
18057,302623,5795,2273,686,2612
18059,71978,882,211,8,642
18061,39299,217,55,24,158
18063,156056,2412,734,275,1319
18065,48995,-71,-93,9,54
18067,82982,21,128,80,-155
18069,36706,-135,50,21,-181
18071,43705,269,169,67,39
18073,33475,94,74,4,22
18077,32494,-17,37,12,-60
18079,28000,-272,67,10,-337
18081,147538,1732,697,213,737
18083,37938,-126,104,38,-258
18085,78564,567,388,69,165
18089,490228,-1175,1095,281,-2258
18091,111444,188,108,16,96
18093,45704,-169,-36,29,-132
18095,130069,-301,66,75,-356
18097,934243,5894,6948,2919,-3746
18099,47107,70,135,48,-80
18103,35954,-179,10,2,-172
18105,143339,1319,462,943,-72
18107,38146,16,116,9,-88
18109,69693,247,131,37,106
18111,14156,77,16,6,60
18113,47618,107,154,9,-26
18115,6035,0,-6,0,-10
18119,20969,-201,-32,0,-160
18125,12624,-42,-13,1,-21
18127,167076,649,283,117,267
18129,25540,25,51,-1,-20
18133,37618,86,4,46,62
18141,267618,768,1075,513,-714
18143,23712,-140,-9,0,-134
18145,44579,77,61,47,-36
18151,34308,14,49,3,-41
18153,21050,-143,28,4,-187
18157,183074,2149,1263,1394,-452
18161,7246,-63,4,0,-76
18163,182006,482,535,162,-108
18165,15693,-162,-39,0,-124
18167,108175,-181,137,192,-510
18169,32252,-96,-62,11,-52
18173,61149,148,64,47,-17
18175,27878,68,29,11,34
18177,67671,-307,-52,8,-220
18179,27862,126,105,7,33
18183,33403,165,91,15,63
19011,25680,-57,36,9,-93
19013,132897,306,498,181,-310
19015,26433,81,26,1,54
19017,24721,144,49,11,105
19021,20578,-6,184,69,-260
19033,43254,-251,-29,34,-251
19041,16515,41,21,2,32
19045,48051,-279,58,23,-340
19049,77400,2673,819,154,1591
19051,8781,11,59,0,-48
19057,40255,-197,23,25,-231
19059,16935,-14,-29,3,19
19061,96370,458,322,80,60
19075,12375,64,15,2,58
19077,10722,47,-7,4,48
19085,14324,-113,-21,1,-87
19099,36872,141,63,11,90
19101,17325,49,-12,174,-105
19103,142287,2473,1154,905,399
19105,20454,-70,3,7,-67
19111,35286,-100,16,9,-99
19113,217751,1664,1051,319,365
19121,15609,146,9,5,117
19123,22370,-42,42,15,-95
19127,40866,-156,97,149,-403
19129,14831,-79,34,9,-117
19139,42903,-15,216,42,-270
19149,24874,-50,51,7,-92
19153,459862,8040,3563,1355,3184
19155,93128,282,257,38,39
19163,171387,834,831,151,-42
19169,94073,663,446,693,-446
19179,35212,-161,45,54,-266
19181,47956,557,144,19,385
19183,22070,55,71,5,-4
19187,36955,-261,17,19,-279
19193,102271,-7,594,209,-759
19195,7624,83,18,0,70
20005,16513,-204,35,4,-245
20009,27385,-125,96,13,-225
20015,66227,343,223,35,104
20035,35963,-267,64,48,-379
20037,39290,-40,119,83,-226
20043,7874,15,18,7,-7
20045,116585,1782,664,621,523
20051,29013,-47,148,31,-213
20055,37184,53,506,167,-625
20057,34795,-155,455,155,-763
20059,25611,-179,71,17,-268
20061,36713,-274,770,288,-1339
20079,34820,17,133,40,-142
20085,13539,166,43,6,126
20087,18855,31,66,1,-49
20091,574272,6946,3831,1376,1636
20093,3915,11,27,5,-26
20095,7698,-139,-18,0,-125
20099,20960,-9,59,17,-78
20103,78797,563,423,146,20
20107,9502,-29,-19,0,-3
20111,33212,-310,153,117,-587
20113,29241,-365,13,19,-389
20121,32822,-17,96,-1,-107
20125,34065,-331,131,32,-506
20139,15936,-146,-47,0,-108
20143,6065,-6,10,2,-20
20149,22897,227,195,33,-1
20155,63794,-361,45,12,-410
20161,75194,-711,827,712,-2277
20169,55755,-75,297,89,-453
20173,508803,2682,3615,896,-1746
20175,23465,-5,339,109,-477
20177,178406,-168,645,157,-930
20191,23528,-86,32,1,-116
20197,7022,-19,67,2,-84
20209,161636,1035,1396,479,-852
21003,20384,115,10,3,108
21005,21888,136,56,2,79
